id_cliente,edad,genero,region,num_compras,ticket_promedio,categoria_principal,canal_preferido,dias_ultima_compra,meses_cliente,satisfaccion,programa_fidelidad,pct_descuento_usado,gasto_anual,cliente_activo,segmento_cliente
CLI-00028,50,F,Metropolitana,1,63600.0,Electrónica,Tienda física,49,60.0,4.0,0,24.0,141600.0,1,Nuevo
CLI-00029,29,M,Valparaíso,3,72900.0,Deportes,Online,13,23.0,6.0,0,13.8,253200.0,1,Nuevo
CLI-00030,39,M,Metropolitana,8,82600.0,Hogar,Tienda física,58,55.0,1.0,1,16.5,726200.0,1,Recurrente
CLI-00031,61,F,Coquimbo,5,40600.0,Deportes,Tienda física,21,41.0,9.0,1,31.7,310700.0,1,Recurrente
CLI-00032,42,M,Valparaíso,4,30200.0,Alimentos,Tienda física,71,29.0,6.0,1,27.6,298700.0,0,Nuevo
CLI-00033,66,M,Metropolitana,14,121900.0,Electrónica,Tienda física,7,41.0,8.0,1,27.4,1634800.0,1,VIP
CLI-00034,44,No especifica,Valparaíso,5,47900.0,Deportes,Online,21,36.0,2.0,0,54.3,261400.0,1,Recurrente
CLI-00035,59,F,Metropolitana,14,43400.0,Electrónica,Tienda física,29,5.0,8.0,1,10.0,672100.0,1,Recurrente
CLI-00036,45,F,Metropolitana,5,81600.0,Hogar,Online,25,39.0,7.0,0,63.1,437800.0,1,Recurrente
CLI-00037,33,F,Coquimbo,6,51800.0,Ropa,Online,26,26.0,8.0,0,30.2,302700.0,1,Recurrente
CLI-00038,32,F,Biobío,9,82300.0,Electrónica,App móvil,27,39.0,9.0,0,20.0,697200.0,1,Recurrente
CLI-00039,64,F,Coquimbo,4,41700.0,Deportes,Tienda física,203,11.0,3.0,1,26.5,185600.0,0,Nuevo
CLI-00040,68,F,Valparaíso,8,43100.0,Alimentos,Tienda física,10,42.0,7.0,1,9.7,460500.0,1,Recurrente
CLI-00041,61,M,Valparaíso,8,75400.0,Alimentos,Tienda física,66,11.0,8.0,0,24.6,582500.0,1,Recurrente
CLI-00042,69,M,Metropolitana,5,36600.0,Alimentos,Online,37,56.0,7.0,0,35.6,252100.0,1,Recurrente
CLI-00043,20,F,Metropolitana,6,78800.0,Alimentos,Tienda física,25,56.0,5.0,1,12.7,539400.0,1,Recurrente
CLI-00044,54,F,Araucanía,9,35400.0,Electrónica,Tienda física,46,18.0,9.0,0,4.9,322600.0,1,Recurrente
CLI-00045,68,M,Metropolitana,9,93000.0,Alimentos,Online,87,,10.0,1,44.7,844800.0,1,Recurrente
CLI-00046,24,M,Araucanía,7,30300.0,Ropa,App móvil,29,57.0,10.0,1,12.4,404700.0,1,Recurrente
CLI-00047,38,M,Biobío,8,68700.0,Hogar,Tienda física,91,,8.0,1,28.7,649300.0,1,Recurrente
CLI-00048,26,M,Metropolitana,5,18100.0,Electrónica,Online,5,27.0,7.0,0,34.6,62200.0,1,Recurrente
CLI-00049,56,F,Valparaíso,7,49900.0,Electrónica,Tienda física,48,36.0,6.0,1,,447700.0,1,Recurrente
CLI-00050,35,M,Biobío,14,61900.0,Alimentos,Online,19,17.0,3.0,1,14.6,833900.0,0,Recurrente
CLI-00051,21,F,Metropolitana,11,32900.0,Alimentos,Online,23,49.0,7.0,0,26.9,393600.0,1,Recurrente
CLI-00052,42,F,Araucanía,5,80500.0,Electrónica,Tienda física,39,,4.0,0,35.5,412600.0,1,Recurrente
CLI-00053,31,F,Valparaíso,6,78500.0,Alimentos,App móvil,30,55.0,5.0,0,49.6,476400.0,1,Recurrente
CLI-00054,67,F,Metropolitana,2,59600.0,Alimentos,Tienda física,22,37.0,9.0,0,19.6,211300.0,1,Nuevo
CLI-00055,26,M,Valparaíso,8,72100.0,Alimentos,App móvil,17,31.0,10.0,1,28.8,717200.0,1,Recurrente
CLI-00056,43,F,Coquimbo,5,34500.0,Alimentos,App móvil,44,45.0,10.0,0,35.2,237100.0,1,Recurrente
CLI-00057,70,M,Metropolitana,5,75900.0,Alimentos,App móvil,32,35.0,5.0,1,17.5,463100.0,1,Recurrente
CLI-00058,19,M,Araucanía,5,129400.0,Deportes,Online,18,27.0,9.0,1,23.4,700200.0,1,Recurrente
CLI-00059,37,No especifica,Metropolitana,4,76800.0,Deportes,Tienda física,11,23.0,,0,37.0,380300.0,1,Nuevo
CLI-00060,45,M,Biobío,8,87600.0,Deportes,Online,68,32.0,7.0,0,16.5,654100.0,1,Recurrente
CLI-00061,64,M,Biobío,7,122300.0,Electrónica,Tienda física,73,17.0,8.0,1,17.8,912200.0,1,Recurrente
CLI-00062,24,F,Metropolitana,8,106100.0,Hogar,App móvil,11,11.0,7.0,1,32.1,848600.0,1,Recurrente
CLI-00063,61,M,Metropolitana,9,129800.0,Electrónica,Online,14,,10.0,1,10.0,1129300.0,1,Recurrente
CLI-00064,25,F,Biobío,7,187200.0,Deportes,Tienda física,13,28.0,6.0,1,23.2,1282300.0,0,Recurrente
CLI-00065,64,M,Valparaíso,5,78100.0,Electrónica,Tienda física,98,18.0,,1,12.1,457300.0,1,Recurrente
CLI-00066,52,No especifica,Biobío,4,62300.0,Hogar,Online,67,49.0,3.0,0,13.8,315100.0,1,Nuevo
CLI-00067,31,F,Metropolitana,8,36800.0,Alimentos,Online,4,41.0,,1,23.0,416100.0,1,Recurrente
CLI-00068,34,F,Araucanía,6,53300.0,Ropa,Tienda física,81,20.0,7.0,1,11.9,378800.0,1,Recurrente
CLI-00069,53,No especifica,Biobío,5,66400.0,Deportes,Online,2,7.0,8.0,1,16.8,441100.0,1,Recurrente
CLI-00070,67,M,Coquimbo,6,82400.0,Deportes,Tienda física,14,37.0,8.0,0,37.5,522900.0,1,Recurrente
CLI-00071,57,No especifica,Metropolitana,5,92900.0,Hogar,Tienda física,114,16.0,8.0,1,12.7,516400.0,1,Recurrente
CLI-00072,21,M,Valparaíso,9,52900.0,Alimentos,Tienda física,90,,7.0,1,,601100.0,1,Recurrente
CLI-00073,19,F,Valparaíso,3,35900.0,Alimentos,Online,69,,6.0,1,32.9,226000.0,1,Nuevo
CLI-00074,23,M,Metropolitana,5,26400.0,Ropa,Tienda física,28,45.0,8.0,1,43.6,298900.0,1,Recurrente
CLI-00075,71,F,Valparaíso,9,121000.0,Alimentos,Online,18,,,1,30.6,1061300.0,1,Recurrente
CLI-00076,59,M,Metropolitana,10,140400.0,Hogar,App móvil,96,23.0,9.0,0,37.7,1254300.0,1,Recurrente
CLI-00077,21,F,Biobío,5,105500.0,Alimentos,Online,49,32.0,4.0,1,44.3,561500.0,0,Recurrente
CLI-00078,71,F,Valparaíso,4,119800.0,Hogar,App móvil,16,49.0,2.0,0,37.7,438300.0,0,Nuevo
CLI-00079,46,No especifica,Metropolitana,6,35700.0,Deportes,Tienda física,28,17.0,7.0,0,19.1,238200.0,1,Recurrente
CLI-00080,35,M,Biobío,6,115700.0,Deportes,Tienda física,96,59.0,8.0,1,42.5,790800.0,1,Recurrente
CLI-00081,43,F,Valparaíso,5,54400.0,Deportes,Online,106,19.0,6.0,1,40.1,382400.0,1,Recurrente
CLI-00082,61,F,Metropolitana,9,121200.0,Electrónica,Online,49,,8.0,1,41.1,1097600.0,1,Recurrente
CLI-00083,51,M,Coquimbo,8,58800.0,Deportes,Tienda física,60,34.0,,1,5.7,583600.0,1,Recurrente
CLI-00084,27,M,Coquimbo,7,39300.0,Hogar,Online,2,14.0,7.0,1,14.6,331900.0,1,Recurrente
CLI-00085,53,M,Valparaíso,9,27700.0,Ropa,App móvil,42,55.0,5.0,1,24.0,356500.0,1,Recurrente
CLI-00086,31,F,Metropolitana,6,247100.0,Alimentos,Online,53,3.0,10.0,0,31.5,1313300.0,1,Recurrente
CLI-00087,48,F,Biobío,5,93200.0,Deportes,App móvil,1,39.0,7.0,1,42.1,531600.0,1,Recurrente
CLI-00088,65,F,Valparaíso,9,54300.0,Electrónica,Tienda física,84,25.0,,0,33.1,480600.0,0,Recurrente
CLI-00089,32,M,Metropolitana,5,169200.0,Electrónica,Online,119,60.0,6.0,1,38.1,881600.0,0,Recurrente
CLI-00090,25,M,Valparaíso,6,101000.0,Hogar,Tienda física,13,11.0,7.0,1,13.9,638500.0,1,Recurrente
CLI-00091,31,M,Valparaíso,6,136900.0,Ropa,Online,85,49.0,8.0,0,30.2,747100.0,0,Recurrente
CLI-00092,40,No especifica,Valparaíso,7,30100.0,Deportes,Online,50,15.0,7.0,0,17.5,180700.0,1,Recurrente
CLI-00093,57,M,Metropolitana,4,133400.0,Deportes,Online,40,19.0,6.0,1,,564800.0,1,Recurrente
CLI-00094,38,M,Valparaíso,2,63200.0,Electrónica,App móvil,84,43.0,8.0,0,21.7,159200.0,0,Nuevo
CLI-00095,33,M,Coquimbo,6,22200.0,Hogar,Tienda física,16,15.0,,1,9.7,157500.0,1,Recurrente
CLI-00096,62,F,Metropolitana,8,190700.0,Electrónica,Tienda física,71,15.0,5.0,1,42.2,1434200.0,0,Recurrente
CLI-00097,35,No especifica,Biobío,5,83900.0,Electrónica,Online,17,38.0,8.0,1,36.1,551300.0,1,Recurrente
CLI-00098,64,F,Araucanía,7,112200.0,Ropa,Tienda física,70,15.0,9.0,1,22.1,836800.0,0,Recurrente
CLI-00099,70,F,Valparaíso,6,77200.0,Hogar,Online,27,9.0,5.0,1,30.7,505200.0,1,Recurrente
CLI-00100,41,F,Metropolitana,7,73500.0,Ropa,Online,6,5.0,5.0,0,26.1,463400.0,1,Recurrente
CLI-00101,43,M,Valparaíso,8,84600.0,Hogar,Online,22,19.0,8.0,1,31.8,721100.0,1,Recurrente
CLI-00102,42,No especifica,Valparaíso,5,62400.0,Deportes,Tienda física,12,24.0,8.0,0,33.1,314400.0,1,Recurrente
CLI-00103,62,F,Araucanía,2,40400.0,Alimentos,Tienda física,5,29.0,7.0,1,31.8,163200.0,1,Nuevo
CLI-00104,58,F,Valparaíso,4,97200.0,Alimentos,Online,6,60.0,3.0,1,18.5,533100.0,1,Recurrente
CLI-00105,46,F,Coquimbo,8,148600.0,Hogar,App móvil,69,5.0,3.0,0,18.2,1031900.0,0,Recurrente
CLI-00106,32,F,Metropolitana,5,141600.0,Alimentos,Online,96,22.0,8.0,0,27.3,666800.0,0,Recurrente
CLI-00107,62,F,Metropolitana,4,35600.0,Electrónica,Tienda física,118,13.0,7.0,1,14.7,242100.0,1,Nuevo
CLI-00108,18,No especifica,Valparaíso,7,144300.0,Deportes,Online,87,50.0,9.0,0,8.4,981400.0,0,Recurrente
CLI-00109,42,No especifica,Metropolitana,4,50600.0,Deportes,Online,80,52.0,7.0,0,31.4,265900.0,0,Nuevo
CLI-00110,24,F,Metropolitana,11,44000.0,Alimentos,App móvil,4,49.0,8.0,1,,575500.0,1,Recurrente
CLI-00111,26,F,Metropolitana,8,20200.0,Hogar,App móvil,71,47.0,10.0,0,44.4,233700.0,0,Recurrente
CLI-00112,41,M,Metropolitana,9,69200.0,Electrónica,Tienda física,69,46.0,4.0,1,,686500.0,0,Recurrente
CLI-00113,18,F,Metropolitana,5,69400.0,Hogar,App móvil,7,29.0,7.0,0,44.6,330200.0,1,Recurrente
CLI-00114,61,M,Coquimbo,2,84600.0,Alimentos,App móvil,49,16.0,3.0,1,18.2,300400.0,0,Nuevo
CLI-00115,25,F,Metropolitana,7,43400.0,Deportes,Tienda física,28,36.0,6.0,0,45.9,313200.0,0,Recurrente
CLI-00116,41,No especifica,Biobío,9,67900.0,Deportes,App móvil,104,17.0,4.0,1,11.8,616000.0,1,Recurrente
CLI-00117,28,F,Biobío,7,51200.0,Hogar,Online,54,20.0,5.0,1,,422300.0,1,Recurrente
CLI-00118,68,F,Coquimbo,12,84500.0,Ropa,Tienda física,136,14.0,10.0,1,19.8,1036000.0,1,Recurrente
CLI-00119,34,M,Metropolitana,6,127900.0,Hogar,Tienda física,5,50.0,8.0,1,12.7,824200.0,1,Recurrente
CLI-00120,25,M,Araucanía,5,130500.0,Ropa,Online,2,6.0,9.0,0,15.5,641800.0,1,Recurrente
CLI-00121,52,F,Valparaíso,10,139400.0,Hogar,App móvil,164,22.0,7.0,1,17.2,1316400.0,1,Recurrente
CLI-00122,52,M,Valparaíso,5,32100.0,Ropa,Online,4,40.0,8.0,1,10.6,261800.0,1,Recurrente
CLI-00123,50,M,Valparaíso,3,58600.0,Ropa,App móvil,22,9.0,2.0,1,17.3,225200.0,1,Nuevo
CLI-00124,22,M,Araucanía,6,49400.0,Ropa,Online,48,32.0,7.0,1,7.5,384800.0,1,Recurrente
CLI-00125,59,F,Metropolitana,9,23600.0,Ropa,Online,96,24.0,7.0,1,22.3,343800.0,1,Recurrente
CLI-00126,56,F,Biobío,7,75100.0,Electrónica,Online,14,33.0,1.0,1,,557700.0,1,Recurrente
CLI-00127,58,M,Valparaíso,8,93400.0,Ropa,App móvil,2,13.0,9.0,1,10.5,740300.0,1,Recurrente
CLI-00128,45,F,Biobío,10,136900.0,Ropa,Online,34,35.0,6.0,1,8.3,1272200.0,1,Recurrente
CLI-00129,24,F,Coquimbo,7,69500.0,Deportes,Tienda física,29,6.0,7.0,0,52.3,400800.0,1,Recurrente
CLI-00130,26,F,Metropolitana,7,109800.0,Electrónica,Tienda física,17,49.0,7.0,0,47.1,826700.0,1,Recurrente
CLI-00131,25,F,Coquimbo,7,23500.0,Ropa,Online,94,40.0,10.0,0,11.8,215300.0,1,Recurrente
CLI-00132,29,M,Metropolitana,10,20200.0,Alimentos,App móvil,63,30.0,3.0,1,54.5,316000.0,1,Recurrente
CLI-00133,51,F,Metropolitana,5,49600.0,Electrónica,Online,88,38.0,7.0,0,47.6,255200.0,0,Recurrente
CLI-00134,50,F,Metropolitana,7,77100.0,Deportes,Tienda física,8,16.0,,0,49.2,549800.0,1,Recurrente
CLI-00135,65,F,Metropolitana,4,57200.0,Hogar,Tienda física,54,1.0,3.0,0,53.1,185000.0,1,Nuevo
CLI-00136,40,F,Valparaíso,15,110900.0,Deportes,Online,167,42.0,8.0,1,25.8,1640500.0,0,VIP
CLI-00137,41,M,Metropolitana,4,177900.0,Deportes,Online,43,18.0,6.0,1,49.0,795600.0,1,Recurrente
CLI-00138,54,M,Metropolitana,6,97700.0,Electrónica,Tienda física,9,22.0,4.0,1,13.7,591200.0,1,Recurrente
CLI-00139,52,F,Coquimbo,6,56800.0,Electrónica,App móvil,247,26.0,5.0,0,39.1,383100.0,0,Recurrente
CLI-00140,61,F,Araucanía,8,45300.0,Alimentos,Online,34,14.0,9.0,1,26.4,506200.0,1,Recurrente
CLI-00141,57,F,Araucanía,9,29100.0,Alimentos,Online,83,56.0,4.0,0,19.2,261700.0,1,Recurrente
CLI-00142,39,F,Araucanía,5,69100.0,Electrónica,App móvil,8,37.0,,1,33.0,408500.0,1,Recurrente
CLI-00143,44,F,Biobío,9,177600.0,Electrónica,Online,50,49.0,5.0,0,69.7,1379700.0,1,Recurrente
CLI-00144,52,F,Metropolitana,11,80500.0,Electrónica,Tienda física,110,14.0,,1,40.0,841300.0,1,Recurrente
CLI-00145,18,M,Metropolitana,14,67900.0,Hogar,Tienda física,35,26.0,5.0,0,12.4,834000.0,0,Recurrente
CLI-00146,52,F,Biobío,11,84300.0,Deportes,Online,16,50.0,7.0,1,13.2,953200.0,1,Recurrente
CLI-00147,54,M,Metropolitana,6,95300.0,Alimentos,Tienda física,7,36.0,5.0,0,9.6,515900.0,1,Recurrente
CLI-00148,64,F,Biobío,6,13600.0,Alimentos,App móvil,16,52.0,,0,48.7,167500.0,0,Recurrente
CLI-00149,31,No especifica,Metropolitana,7,238700.0,Ropa,Tienda física,20,23.0,9.0,1,36.7,1573800.0,1,Recurrente
CLI-00150,20,M,Metropolitana,7,12300.0,Hogar,Tienda física,56,2.0,7.0,0,18.0,123300.0,1,Recurrente
CLI-00151,18,M,Valparaíso,6,61300.0,Electrónica,Tienda física,9,39.0,4.0,1,29.0,490300.0,1,Recurrente
CLI-00152,22,M,Valparaíso,5,84900.0,Electrónica,Tienda física,6,7.0,7.0,1,10.6,492100.0,1,Recurrente
CLI-00153,43,No especifica,Valparaíso,6,62200.0,Hogar,Online,23,39.0,3.0,1,28.6,452300.0,1,Recurrente
CLI-00154,31,M,Biobío,6,74900.0,Alimentos,Tienda física,28,45.0,8.0,1,9.6,531300.0,1,Recurrente
CLI-00155,56,M,Metropolitana,8,49100.0,Electrónica,Online,45,51.0,6.0,1,30.3,532000.0,1,Recurrente
CLI-00156,44,M,Metropolitana,9,53100.0,Ropa,Online,56,22.0,4.0,1,71.8,540700.0,1,Recurrente
CLI-00157,26,M,Araucanía,4,67500.0,Alimentos,App móvil,100,28.0,5.0,1,15.6,374700.0,1,Nuevo
CLI-00158,32,M,Biobío,8,106000.0,Deportes,Tienda física,16,38.0,6.0,0,9.2,778200.0,1,Recurrente
CLI-00159,32,F,Metropolitana,5,75800.0,Hogar,App móvil,34,20.0,9.0,0,36.1,400200.0,1,Recurrente
CLI-00160,43,F,Araucanía,11,125800.0,Alimentos,Online,21,49.0,5.0,0,47.6,1236600.0,0,Recurrente
CLI-00161,59,M,Metropolitana,3,102300.0,Deportes,App móvil,1,57.0,4.0,1,50.3,438600.0,0,Nuevo
CLI-00162,30,M,Valparaíso,8,126900.0,Ropa,Tienda física,39,18.0,7.0,1,,991600.0,1,Recurrente
CLI-00163,68,M,Metropolitana,9,58700.0,Hogar,App móvil,77,57.0,7.0,1,49.1,653900.0,1,Recurrente
CLI-00164,49,M,Biobío,7,40600.0,Electrónica,App móvil,2,,3.0,1,7.7,325500.0,1,Recurrente
CLI-00165,56,F,Biobío,8,38900.0,Electrónica,App móvil,1,33.0,6.0,1,56.3,415500.0,1,Recurrente
CLI-00166,66,F,Metropolitana,5,83500.0,Deportes,App móvil,59,59.0,5.0,0,38.0,471800.0,1,Recurrente
CLI-00167,69,M,Araucanía,9,32900.0,Alimentos,Online,52,55.0,5.0,1,10.0,424900.0,1,Recurrente
CLI-00168,49,F,Metropolitana,7,143300.0,Ropa,Tienda física,24,45.0,6.0,1,17.8,974000.0,1,Recurrente
CLI-00169,21,M,Metropolitana,7,34200.0,Deportes,Online,49,26.0,2.0,1,27.6,302400.0,1,Recurrente
CLI-00170,47,F,Metropolitana,5,137000.0,Ropa,Tienda física,138,19.0,8.0,0,30.4,683100.0,1,Recurrente
CLI-00171,54,F,Metropolitana,6,56300.0,Ropa,App móvil,13,48.0,10.0,1,14.1,472600.0,1,Recurrente
CLI-00172,40,F,Metropolitana,9,79000.0,Ropa,Online,13,42.0,8.0,0,15.6,670200.0,1,Recurrente
CLI-00173,56,M,Valparaíso,9,46400.0,Hogar,Tienda física,10,13.0,6.0,0,38.5,438200.0,1,Recurrente
CLI-00174,62,No especifica,Araucanía,3,67600.0,Deportes,Tienda física,58,10.0,8.0,1,16.9,350900.0,1,Nuevo
CLI-00175,32,M,Valparaíso,6,81600.0,Hogar,Online,20,14.0,,0,5.6,432600.0,1,Recurrente
CLI-00176,60,M,Metropolitana,9,69700.0,Alimentos,Online,202,9.0,9.0,1,,653900.0,0,Recurrente
CLI-00177,46,M,Metropolitana,10,27400.0,Alimentos,Online,57,53.0,8.0,0,34.7,326200.0,1,Recurrente
CLI-00178,53,M,Metropolitana,7,105900.0,Electrónica,Online,21,11.0,8.0,1,12.3,779300.0,1,Recurrente
CLI-00179,30,No especifica,Metropolitana,10,75300.0,Electrónica,Tienda física,8,3.0,5.0,1,15.9,743200.0,1,Recurrente
CLI-00180,49,F,Biobío,6,39300.0,Electrónica,Tienda física,41,40.0,7.0,1,24.0,367100.0,1,Recurrente
CLI-00181,24,M,Metropolitana,4,74900.0,Alimentos,Online,16,12.0,6.0,1,52.9,374700.0,1,Nuevo
CLI-00182,68,F,Biobío,4,93800.0,Ropa,App móvil,107,35.0,1.0,1,48.0,511900.0,1,Recurrente
CLI-00183,39,No especifica,Araucanía,9,76300.0,Ropa,Tienda física,27,39.0,6.0,1,6.9,757700.0,1,Recurrente
CLI-00184,45,F,Valparaíso,4,148100.0,Deportes,Tienda física,16,46.0,7.0,0,56.3,584900.0,1,Recurrente
CLI-00185,19,F,Araucanía,5,20700.0,Alimentos,Online,40,39.0,8.0,0,45.3,166400.0,1,Recurrente
CLI-00186,59,No especifica,Valparaíso,8,44100.0,Electrónica,Tienda física,7,32.0,10.0,1,20.2,482500.0,1,Recurrente
CLI-00187,62,No especifica,Valparaíso,5,99500.0,Alimentos,Online,38,39.0,5.0,1,16.9,546000.0,1,Recurrente
CLI-00188,70,F,Valparaíso,10,55600.0,Ropa,Tienda física,3,14.0,4.0,1,27.6,597500.0,1,Recurrente
CLI-00189,23,M,Valparaíso,5,25100.0,Ropa,Tienda física,43,44.0,9.0,0,37.7,209300.0,1,Recurrente
CLI-00190,45,M,Metropolitana,4,165800.0,Hogar,Online,34,1.0,10.0,0,8.4,589000.0,1,Recurrente
CLI-00191,45,F,Metropolitana,7,42900.0,Hogar,App móvil,34,27.0,7.0,0,27.2,253200.0,1,Recurrente
CLI-00192,61,M,Metropolitana,6,53600.0,Deportes,Tienda física,52,37.0,4.0,1,,365700.0,1,Recurrente
CLI-00193,61,F,Valparaíso,6,71100.0,Alimentos,Online,3,60.0,7.0,0,21.6,462700.0,0,Recurrente
CLI-00194,37,M,Metropolitana,6,161400.0,Hogar,App móvil,28,43.0,4.0,0,30.8,922000.0,1,Recurrente
CLI-00195,47,M,Coquimbo,10,74900.0,Hogar,Tienda física,27,1.0,9.0,0,10.6,669400.0,1,Recurrente
CLI-00196,28,M,Biobío,7,52600.0,Alimentos,Tienda física,28,55.0,8.0,1,24.5,525000.0,1,Recurrente
CLI-00197,45,M,Metropolitana,9,281000.0,Ropa,Tienda física,176,,5.0,1,31.3,2297600.0,1,VIP
CLI-00198,42,No especifica,Metropolitana,6,90800.0,Deportes,Online,7,29.0,9.0,1,53.6,591300.0,1,Recurrente
CLI-00199,56,F,Araucanía,9,80400.0,Deportes,App móvil,53,24.0,8.0,0,19.4,645500.0,1,Recurrente
CLI-00200,50,F,Araucanía,12,26900.0,Deportes,Tienda física,24,55.0,10.0,0,13.2,362600.0,1,Recurrente
CLI-00201,18,F,Biobío,3,93500.0,Hogar,Online,33,17.0,10.0,1,44.0,393000.0,1,Nuevo
CLI-00202,44,M,Metropolitana,4,121700.0,Ropa,App móvil,65,35.0,1.0,1,,539400.0,1,Recurrente
CLI-00203,69,F,Metropolitana,9,29200.0,Deportes,Tienda física,8,31.0,4.0,1,35.6,353100.0,1,Recurrente
CLI-00204,30,F,Metropolitana,4,155600.0,Alimentos,Tienda física,65,42.0,7.0,1,27.7,688200.0,1,Recurrente
CLI-00205,58,F,Metropolitana,4,246800.0,Deportes,App móvil,4,32.0,10.0,1,38.1,1040700.0,1,Recurrente
CLI-00206,20,M,Biobío,5,166500.0,Electrónica,Online,30,19.0,10.0,0,43.8,836800.0,1,Recurrente
CLI-00207,56,F,Biobío,8,46400.0,Ropa,Online,61,31.0,7.0,0,32.1,365600.0,1,Recurrente
CLI-00208,23,F,Valparaíso,2,159100.0,Electrónica,Online,10,39.0,5.0,1,,416600.0,0,Nuevo
CLI-00209,25,No especifica,Araucanía,7,109100.0,Ropa,App móvil,67,20.0,4.0,1,40.0,736500.0,0,Recurrente
CLI-00210,44,F,Valparaíso,11,63500.0,Alimentos,Online,9,28.0,8.0,1,49.3,746900.0,1,Recurrente
CLI-00211,26,F,Valparaíso,7,140500.0,Hogar,Online,73,3.0,8.0,1,52.1,950100.0,1,Recurrente
CLI-00212,54,F,Metropolitana,10,96600.0,Hogar,Online,29,32.0,7.0,0,13.5,900900.0,1,Recurrente
CLI-00213,50,F,Coquimbo,6,76200.0,Ropa,Online,52,,7.0,1,11.2,556400.0,1,Recurrente
CLI-00214,68,M,Metropolitana,11,55900.0,Deportes,Tienda física,113,44.0,8.0,1,26.1,659200.0,1,Recurrente
CLI-00215,59,F,Coquimbo,9,48100.0,Electrónica,App móvil,24,58.0,9.0,1,,556200.0,1,Recurrente
CLI-00216,61,F,Araucanía,3,84200.0,Alimentos,Online,12,54.0,6.0,1,21.1,381200.0,1,Nuevo
CLI-00217,41,F,Metropolitana,4,61000.0,Deportes,Tienda física,91,42.0,5.0,1,41.5,367600.0,1,Nuevo
